Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
45,0.75,0.46684,-0.015175,0.470451,3233.196289,-4.315951,1127.57959,10.658009,-7.083467,42.766266,-2577.192139,-2874.759766,33.313087,,,,,,,,,,
46,0.766667,0.462732,0.006045,0.493142,3233.23584,-4.34561,1127.602173,10.635756,-6.99311,42.636925,-2577.229248,-2874.915283,33.207531,,,,,,,,,,
47,0.783333,0.465968,0.011454,0.471925,3233.230713,-4.344054,1127.585571,10.609231,-7.038569,42.746243,-2577.217285,-2874.860107,33.260849,,,,,,,,,,
48,0.8,0.465674,0.001482,0.471218,3233.232178,-4.329243,1127.555908,10.642676,-7.097074,42.81778,-2577.18042,-2874.822021,33.280159,,,,,,,,,,
49,0.816667,0.444714,-0.024469,0.474117,3233.249268,-4.330471,1127.533325,10.62779,-6.996813,42.844662,-2577.178223,-2874.787354,33.308636,,,,,,,,,,
50,0.833333,0.444537,-0.010196,0.449514,3233.264648,-4.322929,1127.524414,10.708399,-7.166238,42.652279,-2577.232422,-2874.929443,33.185684,,,,,,,,,,
51,0.85,0.442414,0.001162,0.408851,3233.258545,-4.306793,1127.53479,10.640454,-7.171904,42.787575,-2577.198975,-2874.748047,33.296734,,,,,,,,,,
52,0.866667,0.447062,0.005302,0.418716,3233.258057,-4.298537,1127.568115,10.664141,-7.133069,42.754345,-2577.203857,-2874.899902,33.229435,,,,,,,,,,
53,0.883333,0.464475,0.010887,0.422301,3233.253662,-4.312855,1127.566406,10.626158,-7.063593,42.608196,-2577.224609,-2874.967285,33.198795,,,,,,,,,,
54,0.9,0.460692,-0.002595,0.441369,3233.263672,-4.326852,1127.524048,10.610292,-6.993646,42.772629,-2577.216797,-2874.891602,33.276707,,,,,,,,,,
55,0.916667,0.439456,-0.013551,0.411392,3233.266846,-4.298491,1127.527222,10.716828,-7.102334,42.840881,-2577.189209,-2874.801758,33.315464,,,,,,,,,,
56,0.933333,0.424935,-0.012159,0.427854,3233.259521,-4.291538,1127.564697,10.604814,-6.940887,42.669506,-2577.227051,-2874.954102,33.220238,,,,,,,,,,
57,0.95,0.438195,-0.013107,0.431469,3233.226807,-4.287215,1127.576904,10.71762,-7.111359,42.684635,-2577.223389,-2874.955322,33.199928,,,,,,,,,,
58,0.966667,0.463811,-0.001444,0.460617,3233.208008,-4.290607,1127.5979,10.682623,-7.025296,42.85125,-2577.199463,-2874.812988,33.310577,,,,,,,,,,
59,0.983333,0.484477,0.003924,0.493097,3233.201904,-4.315086,1127.608765,10.66399,-7.065034,42.726299,-2577.242676,-2874.904541,33.243496,,,,,,,,,,
60,1,0.471607,0.001632,0.494767,3233.192627,-4.323447,1127.608643,10.633538,-7.061242,42.764233,-2577.226074,-2874.898682,33.21096,,,,,,,,,,
61,1.016667,0.438875,-0.000116,0.443477,3233.202393,-4.304454,1127.596558,10.500848,-6.908719,42.891556,-2577.199951,-2874.80957,33.311874,,,,,,,,,,
62,1.033333,0.450064,-0.003122,0.439922,3233.250732,-4.30602,1127.557739,10.633249,-7.040623,42.846603,-2577.211914,-2874.869141,33.276253,,,,,,,,,,
63,1.05,0.446944,-0.025543,0.471008,3233.240723,-4.31975,1127.56604,10.644081,-7.200944,42.764633,-2577.229004,-2874.904541,33.238899,,,,,,,,,,
64,1.066667,0.43539,-0.02155,0.461156,3233.243164,-4.310662,1127.536865,10.580394,-7.059378,42.886288,-2577.190186,-2874.835693,33.279575,,,,,,,,,,
65,1.083333,0.457505,-0.007801,0.523127,3233.259766,-4.339572,1127.55835,10.559565,-7.14463,42.78104,-2577.209473,-2874.857422,33.2673,,,,,,,,,,
66,1.1,0.465048,0.003936,0.501745,3233.223877,-4.316951,1127.565063,10.678083,-7.197339,42.799202,-2577.213623,-2874.901855,33.205875,,,,,,,,,,
67,1.116667,0.450228,0.006642,0.478472,3233.2146,-4.304392,1127.571167,10.637088,-7.004032,42.841824,-2577.205078,-2874.875732,33.275406,,,,,,,,,,
68,1.133333,0.453744,0.008698,0.446293,3233.226562,-4.314545,1127.578857,10.629188,-7.094398,42.839939,-2577.188721,-2874.864502,33.269924,,,,,,,,,,
